SITE,Date,Hour,OZONE,TEMP_F,StateCode,CountyCode,SiteNum,Latitude,Longitude,Time,Parameter,YEAR,Month,Day
27-137-7001,2016-10-07,2,8,47.6,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,10,07
27-137-7001,2016-10-08,1,6,45.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,10,08
27-137-7001,2016-10-09,0,6,47.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,10,09
27-137-7001,2016-10-10,3,7,45.2,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,10,10
27-137-7001,2016-10-11,0,8,55.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,10,11
27-137-7001,2016-10-12,4,12,60.8,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,10,12
27-137-7001,2016-10-13,1,13,50.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,10,13
27-137-7001,2016-10-14,4,8,62.6,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,10,14
27-137-7001,2016-10-15,8,7,56.6,27,137,7001,47.523355,-92.536305,1899-12-31T08:00:00Z,88101,2016,10,15
27-137-7001,2016-10-16,2,3,54.8,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,10,16
27-137-7001,2016-10-17,1,9,50,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,10,17
27-137-7001,2016-10-18,3,6,39.800000000000004,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,10,18
27-137-7001,2016-10-19,1,11,61.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,10,19
27-137-7001,2016-10-20,1,9,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,10,20
27-137-7001,2016-10-21,0,7,47,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,10,21
27-137-7001,2016-10-22,5,6,56,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,10,22
27-137-7001,2016-10-23,1,10,56.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,10,23
27-137-7001,2016-10-24,1,9,60.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,10,24
27-137-7001,2016-10-25,0,8,56,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,10,25
27-137-7001,2016-10-26,3,14,60.199999999999996,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,10,26
27-137-7001,2016-10-27,0,12,49.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,10,27
